,Phase,SetSize,FBand,Cluster,Participant,Power
416,id,1,beta,Temporal,T25F1,1.2113921016322546
417,id,1,beta,Temporal,T9F2,1.2761338185087403
418,id,1,beta,Temporal,W10F2,1.0124603193684847
419,id,1,beta,Temporal,W17M2,0.9334959792378865
420,id,1,beta,Parietal,F12F2,2.068523497596256
421,id,1,beta,Parietal,F12M1,0.8860754891289441
422,id,1,beta,Parietal,F19M1,1.0423166373585333
423,id,1,beta,Parietal,F26F2,1.131210085625417
424,id,1,beta,Parietal,F5M1,1.2141630713512752
425,id,1,beta,Parietal,M22F2,1.271557119697759
426,id,1,beta,Parietal,M8M1,1.095466948808003
427,id,1,beta,Parietal,M8M2,0.9326123443862955
428,id,1,beta,Parietal,S20M1,1.1650634611086785
429,id,1,beta,Parietal,S21F1,1.1590460121680648
430,id,1,beta,Parietal,T11F1,1.0937874524846423
431,id,1,beta,Parietal,T16F2,0.9575106860472958
432,id,1,beta,Parietal,T18F2,1.07717409582465
433,id,1,beta,Parietal,T18M1,1.2228531768704314
434,id,1,beta,Parietal,T23F1,1.1332992931411194
435,id,1,beta,Parietal,T23F2,1.000144223605286
436,id,1,beta,Parietal,T25F1,1.1564918028846782
437,id,1,beta,Parietal,T9F2,1.277418113279391
438,id,1,beta,Parietal,W10F2,0.9091591215518277
439,id,1,beta,Parietal,W17M2,0.7905868212682922
440,id,1,beta,Occipital,F12F2,2.363343583147029
441,id,1,beta,Occipital,F12M1,1.007491964740707
442,id,1,beta,Occipital,F19M1,0.9844004076383011
443,id,1,beta,Occipital,F26F2,1.437262251900299
444,id,1,beta,Occipital,F5M1,1.2142488909405391
445,id,1,beta,Occipital,M22F2,1.3046224223778737
446,id,1,beta,Occipital,M8M1,1.059377467668169
447,id,1,beta,Occipital,M8M2,0.8676438034843637
448,id,1,beta,Occipital,S20M1,1.1498320497786196
449,id,1,beta,Occipital,S21F1,1.2884028865618542
450,id,1,beta,Occipital,T11F1,1.0735213881197272
451,id,1,beta,Occipital,T16F2,1.0001672713975485
452,id,1,beta,Occipital,T18F2,1.0713675173165782
453,id,1,beta,Occipital,T18M1,1.1264316524009717
454,id,1,beta,Occipital,T23F1,1.1401911442121975
455,id,1,beta,Occipital,T23F2,0.8262110615833046
456,id,1,beta,Occipital,T25F1,1.1426737626732726
457,id,1,beta,Occipital,T9F2,1.3636095247952043
458,id,1,beta,Occipital,W10F2,0.9141121994308766
459,id,1,beta,Occipital,W17M2,0.8669392565071801
460,id,1,beta,All,F12F2,2.091699213036956
461,id,1,beta,All,F12M1,1.0088662919106688
462,id,1,beta,All,F19M1,1.0610947695226784
463,id,1,beta,All,F26F2,1.1729225930287155
464,id,1,beta,All,F5M1,1.1968878329545898
465,id,1,beta,All,M22F2,1.2421282123966932
466,id,1,beta,All,M8M1,1.1645542005657121
467,id,1,beta,All,M8M2,0.9649035059439233
468,id,1,beta,All,S20M1,1.2230079751717107
469,id,1,beta,All,S21F1,1.205174326805039
470,id,1,beta,All,T11F1,1.1478517284519751
471,id,1,beta,All,T16F2,1.0051669096044682
472,id,1,beta,All,T18F2,1.165497102508525
473,id,1,beta,All,T18M1,1.2279771483757902
474,id,1,beta,All,T23F1,1.2100071132182935
475,id,1,beta,All,T23F2,0.9951369348084177
476,id,1,beta,All,T25F1,1.270801868713321
477,id,1,beta,All,T9F2,1.3790972906853693
478,id,1,beta,All,W10F2,0.9741747131403039
479,id,1,beta,All,W17M2,0.8824575749626403
480,id,1,gamma,Frontal,F12F2,1.8770470422406722
481,id,1,gamma,Frontal,F12M1,1.0714278962551376
482,id,1,gamma,Frontal,F19M1,1.0055786098175468
483,id,1,gamma,Frontal,F26F2,1.4443935972298054
484,id,1,gamma,Frontal,F5M1,1.081418455113374
