,Phase,SetSize,FBand,Cluster,Participant,Power
402,id,1,beta,Temporal,F19M1,4.426196719629682e-10
403,id,1,beta,Temporal,F26F2,1.726280081710555e-09
404,id,1,beta,Temporal,F5M1,6.624373026758879e-08
405,id,1,beta,Temporal,M22F2,9.414191396200161e-10
406,id,1,beta,Temporal,M8M1,4.023683814531233e-10
407,id,1,beta,Temporal,M8M2,1.909575869691706e-09
408,id,1,beta,Temporal,S20M1,9.596623078819928e-10
409,id,1,beta,Temporal,S21F1,1.1760310424314697e-09
410,id,1,beta,Temporal,T11F1,3.698657469106322e-09
411,id,1,beta,Temporal,T16F2,8.55930543682274e-10
412,id,1,beta,Temporal,T18F2,9.711586785178407e-10
413,id,1,beta,Temporal,T18M1,2.331203758805318e-09
414,id,1,beta,Temporal,T23F1,1.1797425494354603e-09
415,id,1,beta,Temporal,T23F2,2.0215287779217258e-09
416,id,1,beta,Temporal,T25F1,2.0550071565980804e-09
417,id,1,beta,Temporal,T9F2,2.4656175504443474e-09
418,id,1,beta,Temporal,W10F2,1.4966269455558782e-09
419,id,1,beta,Temporal,W17M2,8.154049002414918e-10
420,id,1,beta,Parietal,F12F2,1.3837792925134777e-09
421,id,1,beta,Parietal,F12M1,7.316927877783562e-10
422,id,1,beta,Parietal,F19M1,5.942224060267821e-10
423,id,1,beta,Parietal,F26F2,1.2793727654558835e-09
424,id,1,beta,Parietal,F5M1,5.470142974119122e-08
425,id,1,beta,Parietal,M22F2,7.971168973719263e-10
426,id,1,beta,Parietal,M8M1,4.5566000425403666e-10
427,id,1,beta,Parietal,M8M2,1.7535002910937212e-09
428,id,1,beta,Parietal,S20M1,1.0813884603072822e-09
429,id,1,beta,Parietal,S21F1,7.656314474066287e-10
430,id,1,beta,Parietal,T11F1,1.5379247169698e-09
431,id,1,beta,Parietal,T16F2,8.798709506829683e-10
432,id,1,beta,Parietal,T18F2,9.136695977255083e-10
433,id,1,beta,Parietal,T18M1,1.500299393080525e-09
434,id,1,beta,Parietal,T23F1,9.294849411139143e-10
435,id,1,beta,Parietal,T23F2,1.3860246746664202e-09
436,id,1,beta,Parietal,T25F1,8.719043352235755e-10
437,id,1,beta,Parietal,T9F2,1.7094974318856846e-09
438,id,1,beta,Parietal,W10F2,1.7343032509702555e-09
439,id,1,beta,Parietal,W17M2,6.758456957014292e-10
440,id,1,beta,Occipital,F12F2,1.1487063338005486e-09
441,id,1,beta,Occipital,F12M1,7.384489054521152e-10
442,id,1,beta,Occipital,F19M1,4.361053408118319e-10
443,id,1,beta,Occipital,F26F2,1.1313471981966885e-09
444,id,1,beta,Occipital,F5M1,5.1436971053597386e-08
445,id,1,beta,Occipital,M22F2,7.537565880573495e-10
446,id,1,beta,Occipital,M8M1,4.641915101504282e-10
447,id,1,beta,Occipital,M8M2,1.5517859523913051e-09
448,id,1,beta,Occipital,S20M1,1.282124887709171e-09
449,id,1,beta,Occipital,S21F1,6.335159612795254e-10
450,id,1,beta,Occipital,T11F1,1.9207555944495016e-09
451,id,1,beta,Occipital,T16F2,7.859414988797601e-10
452,id,1,beta,Occipital,T18F2,9.114669164612303e-10
453,id,1,beta,Occipital,T18M1,5.30819420083839e-10
454,id,1,beta,Occipital,T23F1,8.655854787027286e-10
455,id,1,beta,Occipital,T23F2,1.0562071444087315e-09
456,id,1,beta,Occipital,T25F1,7.692444725158418e-10
457,id,1,beta,Occipital,T9F2,1.1068366715803535e-09
458,id,1,beta,Occipital,W10F2,1.896906779207721e-09
459,id,1,beta,Occipital,W17M2,5.787087484736326e-10
460,id,1,beta,All,F12F2,1.5651450393925243e-09
461,id,1,beta,All,F12M1,1.0466429544465387e-09
462,id,1,beta,All,F19M1,6.543370158789634e-10
463,id,1,beta,All,F26F2,1.208130683158915e-09
