,Phase,SetSize,FBand,Cluster,Participant,Power
295,id,1,alpha,Temporal,T23F2,3.4215207710284774e-09
296,id,1,alpha,Temporal,T25F1,7.115481397019639e-09
297,id,1,alpha,Temporal,T9F2,2.2099323176789734e-09
298,id,1,alpha,Temporal,W10F2,1.2512088195982188e-08
299,id,1,alpha,Temporal,W17M2,3.37620860273965e-09
300,id,1,alpha,Parietal,F12F2,1.911187511223725e-09
301,id,1,alpha,Parietal,F12M1,4.224157538740726e-09
302,id,1,alpha,Parietal,F19M1,2.5797992409764777e-09
303,id,1,alpha,Parietal,F26F2,2.748057644626319e-09
304,id,1,alpha,Parietal,F5M1,5.856926881321824e-07
305,id,1,alpha,Parietal,M22F2,5.149747183951197e-09
306,id,1,alpha,Parietal,M8M1,9.502119152842233e-10
307,id,1,alpha,Parietal,M8M2,4.396823669968512e-09
308,id,1,alpha,Parietal,S20M1,2.2170405813522903e-09
309,id,1,alpha,Parietal,S21F1,2.0029968228861966e-09
310,id,1,alpha,Parietal,T11F1,3.420025390552873e-09
311,id,1,alpha,Parietal,T16F2,3.588197045387339e-09
312,id,1,alpha,Parietal,T18F2,2.470634317250483e-09
313,id,1,alpha,Parietal,T18M1,1.1537568199002355e-09
314,id,1,alpha,Parietal,T23F1,2.7877558458065076e-09
315,id,1,alpha,Parietal,T23F2,8.243968227761618e-09
316,id,1,alpha,Parietal,T25F1,8.166615644202998e-09
317,id,1,alpha,Parietal,T9F2,2.6695117116056045e-09
318,id,1,alpha,Parietal,W10F2,1.748752263466054e-08
319,id,1,alpha,Parietal,W17M2,3.448476356538099e-09
320,id,1,alpha,Occipital,F12F2,1.999256279509568e-09
321,id,1,alpha,Occipital,F12M1,3.5004006135880953e-09
322,id,1,alpha,Occipital,F19M1,1.8163249371584128e-09
323,id,1,alpha,Occipital,F26F2,2.3360969943965393e-09
324,id,1,alpha,Occipital,F5M1,5.704560302763993e-07
325,id,1,alpha,Occipital,M22F2,6.5401098872626035e-09
326,id,1,alpha,Occipital,M8M1,1.0353915162250809e-09
327,id,1,alpha,Occipital,M8M2,4.330865402476041e-09
328,id,1,alpha,Occipital,S20M1,1.995810790073748e-09
329,id,1,alpha,Occipital,S21F1,2.3966064400191008e-09
330,id,1,alpha,Occipital,T11F1,3.405129159562214e-09
331,id,1,alpha,Occipital,T16F2,3.3690691211112903e-09
332,id,1,alpha,Occipital,T18F2,2.4017547211533804e-09
333,id,1,alpha,Occipital,T18M1,9.76799017475309e-10
334,id,1,alpha,Occipital,T23F1,2.820227454808081e-09
335,id,1,alpha,Occipital,T23F2,7.4074859572922415e-09
336,id,1,alpha,Occipital,T25F1,6.5592074084220835e-09
337,id,1,alpha,Occipital,T9F2,2.866970743053603e-09
338,id,1,alpha,Occipital,W10F2,1.4841846981230285e-08
339,id,1,alpha,Occipital,W17M2,2.1730280519259313e-09
340,id,1,alpha,All,F12F2,2.539828369300433e-09
341,id,1,alpha,All,F12M1,6.549983924377551e-09
342,id,1,alpha,All,F19M1,2.5862165774813288e-09
343,id,1,alpha,All,F26F2,2.9016126166237357e-09
344,id,1,alpha,All,F5M1,5.945721248746886e-07
345,id,1,alpha,All,M22F2,5.484676279984994e-09
346,id,1,alpha,All,M8M1,1.3484249739293507e-09
347,id,1,alpha,All,M8M2,5.633230072125053e-09
348,id,1,alpha,All,S20M1,2.9055955063157347e-09
349,id,1,alpha,All,S21F1,2.6830757948295112e-09
350,id,1,alpha,All,T11F1,4.1770345696781696e-09
351,id,1,alpha,All,T16F2,3.928270151175011e-09
352,id,1,alpha,All,T18F2,2.8740606110152715e-09
353,id,1,alpha,All,T18M1,1.5943829042300024e-09
354,id,1,alpha,All,T23F1,2.9909709253186212e-09
355,id,1,alpha,All,T23F2,6.955851225868635e-09
356,id,1,alpha,All,T25F1,9.466591453253387e-09
357,id,1,alpha,All,T9F2,4.189919006145294e-09
358,id,1,alpha,All,W10F2,1.8027163882823943e-08
359,id,1,alpha,All,W17M2,3.796260396985598e-09
360,id,1,beta,Frontal,F12F2,1.5127026428040826e-09
361,id,1,beta,Frontal,F12M1,1.3776508933221661e-09
362,id,1,beta,Frontal,F19M1,7.723601877262498e-10
363,id,1,beta,Frontal,F26F2,1.0374557826859875e-09
364,id,1,beta,Frontal,F5M1,5.568645601707921e-08
365,id,1,beta,Frontal,M22F2,1.652655580346297e-09
366,id,1,beta,Frontal,M8M1,3.5195594253165066e-09
367,id,1,beta,Frontal,M8M2,2.435366248702079e-09
368,id,1,beta,Frontal,S20M1,1.2963642244796825e-09
369,id,1,beta,Frontal,S21F1,1.9898647863508783e-09
370,id,1,beta,Frontal,T11F1,2.263121752902317e-09
371,id,1,beta,Frontal,T16F2,1.2304254801475932e-09
372,id,1,beta,Frontal,T18F2,1.083440469843151e-09
373,id,1,beta,Frontal,T18M1,1.0494566684450356e-09
374,id,1,beta,Frontal,T23F1,1.6758932767153622e-09
375,id,1,beta,Frontal,T23F2,2.1178125378137673e-09
376,id,1,beta,Frontal,T25F1,2.002813599216574e-09
377,id,1,beta,Frontal,T9F2,1.551649793539369e-09
378,id,1,beta,Frontal,W10F2,1.910507728272536e-09
379,id,1,beta,Frontal,W17M2,1.0496048784156023e-09
380,id,1,beta,Central,F12F2,1.6614507596136702e-09
381,id,1,beta,Central,F12M1,9.501999627458148e-10
382,id,1,beta,Central,F19M1,8.143135001795145e-10
383,id,1,beta,Central,F26F2,1.0221377454366394e-09
384,id,1,beta,Central,F5M1,5.389117154195479e-08
385,id,1,beta,Central,M22F2,9.889422438105681e-10
386,id,1,beta,Central,M8M1,6.308204070653651e-10
387,id,1,beta,Central,M8M2,2.0134033613213393e-09
388,id,1,beta,Central,S20M1,1.1576517332963378e-09
389,id,1,beta,Central,S21F1,8.094335330558719e-10
390,id,1,beta,Central,T11F1,1.8994437221166185e-09
391,id,1,beta,Central,T16F2,1.0632846149716046e-09
392,id,1,beta,Central,T18F2,8.974207418713316e-10
393,id,1,beta,Central,T18M1,1.2950738157589652e-09
394,id,1,beta,Central,T23F1,1.1545261945418646e-09
395,id,1,beta,Central,T23F2,1.276893614616207e-09
396,id,1,beta,Central,T25F1,1.3299832391689457e-09
397,id,1,beta,Central,T9F2,2.0750570957690133e-09
398,id,1,beta,Central,W10F2,1.51326409358841e-09
399,id,1,beta,Central,W17M2,8.02255511508744e-10
400,id,1,beta,Temporal,F12F2,2.7487612212360713e-09
401,id,1,beta,Temporal,F12M1,9.962760536910176e-10
402,id,1,beta,Temporal,F19M1,4.3095127863266e-10
403,id,1,beta,Temporal,F26F2,1.5453773605879318e-09
404,id,1,beta,Temporal,F5M1,6.957550181963214e-08
405,id,1,beta,Temporal,M22F2,8.972209451876457e-10
406,id,1,beta,Temporal,M8M1,4.037377925777629e-10
407,id,1,beta,Temporal,M8M2,1.906400986339178e-09
408,id,1,beta,Temporal,S20M1,1.0282829544429387e-09
409,id,1,beta,Temporal,S21F1,1.3217452465097528e-09
410,id,1,beta,Temporal,T11F1,3.734660727949704e-09
411,id,1,beta,Temporal,T16F2,8.202568132766073e-10
412,id,1,beta,Temporal,T18F2,9.199087958178235e-10
413,id,1,beta,Temporal,T18M1,2.329748611957558e-09
414,id,1,beta,Temporal,T23F1,1.2048911894776266e-09
415,id,1,beta,Temporal,T23F2,2.105631866074047e-09
416,id,1,beta,Temporal,T25F1,2.072658019408672e-09
417,id,1,beta,Temporal,T9F2,2.587292390320768e-09
418,id,1,beta,Temporal,W10F2,1.4987796227634566e-09
419,id,1,beta,Temporal,W17M2,8.176885832171004e-10
420,id,1,beta,Parietal,F12F2,1.5256273644211028e-09
421,id,1,beta,Parietal,F12M1,6.459902841535626e-10
422,id,1,beta,Parietal,F19M1,5.950655235401618e-10
